date,open,high,low,close,volume,sma_10,sma_20,ema_10,ema_20
2018-01-01,312.0,360.5,305.67999267578125,354.30999755859375,124271500,354.31,354.31,354.31,354.31
2018-02-01,351.0,359.989990234375,294.760009765625,343.05999755859375,109190000,348.68,348.68,343.06,343.06
2018-03-01,345.010009765625,348.6700134277344,248.2100067138672,266.1300048828125,157268500,321.17,321.17,266.13,266.13
2018-04-01,256.260009765625,309.5,244.58999633789065,293.8999938964844,190310800,314.35,314.35,293.9,293.9
2018-05-01,293.510009765625,312.989990234375,273.4200134277344,284.7300109863281,155578100,308.43,308.43,284.73,284.73
2018-06-01,285.8599853515625,373.7300109863281,283.8399963378906,342.95001220703125,213425100,314.18,314.18,342.95,342.95
2018-07-01,360.07000732421875,364.7799987792969,286.1300048828125,298.1400146484375,172328200,311.89,311.89,298.14,298.14
2018-08-01,297.989990234375,387.4599914550781,288.20001220703125,301.6600036621094,277360200,310.61,310.61,301.66,301.66
2018-09-01,296.94000244140625,314.9599914550781,252.25,264.7699890136719,196075400,305.52,305.52,264.77,264.77
2018-10-01,305.7699890136719,347.1600036621094,247.77000427246097,337.32000732421875,286360700,308.7,308.7,308.7,337.32
2018-11-01,338.260009765625,366.75,325.0,350.4800109863281,133019100,308.31,312.5,316.29,350.48
2018-12-01,360.0,379.489990234375,294.0899963378906,332.79998779296875,146451200,307.29,314.19,319.3,332.8
2019-01-01,306.1000061035156,352.0,279.2799987792969,307.0199890136719,175652100,311.38,313.64,317.06,307.02
2019-02-01,305.4200134277344,324.239990234375,288.7699890136719,319.8800048828125,128550100,313.98,314.08,317.58,319.88
2019-03-01,306.94000244140625,307.1300048828125,254.4600067138672,279.8599853515625,213793500,313.49,311.8,310.72,279.86
2019-04-01,282.6199951171875,296.1700134277344,231.1300048828125,238.69000244140625,230757800,303.06,307.23,297.62,238.69
2019-05-01,238.8500061035156,258.3500061035156,184.1000061035156,185.16000366210935,282598800,291.76,300.05,277.17,185.16
2019-06-01,185.5099945068359,234.7400054931641,176.99000549316406,223.4600067138672,214959300,283.94,295.8,267.41,223.46
2019-07-01,230.2100067138672,266.07000732421875,222.22000122070312,241.61000061035156,199367200,281.63,292.94,262.72,241.61
2019-08-01,242.6499938964844,244.5099945068359,211.0,225.61000061035156,133790600,270.46,289.58,255.97,289.58
2019-09-01,224.0800018310547,253.5,218.36000061035156,240.8699951171875,135775300,259.5,283.91,253.23,284.94
2019-10-01,241.5,340.8399963378906,224.27999877929688,314.9200134277344,227982600,257.71,282.5,264.44,287.79
2019-11-01,316.32000732421875,361.2000122070313,309.260009765625,329.94000244140625,157770800,260.0,285.69,276.35,291.81
2019-12-01,329.3999938964844,435.30999755859375,327.25,418.3299865722656,207080000,269.84,291.91,302.17,303.86
