date,open,high,low,close,volume,sma_10,sma_20,ema_10,ema_20
2018-01-01,86.12999725341797,95.4499969482422,85.5,95.01000213623048,574258400,95.01,95.01,95.01,95.01
2018-02-01,94.79000091552734,96.06999969482422,83.83000183105469,93.7699966430664,725663300,94.39,94.39,93.77,93.77
2018-03-01,93.98999786376952,97.23999786376952,87.08000183105469,91.2699966430664,750754800,93.35,93.35,91.27,91.27
2018-04-01,90.47000122070312,97.9000015258789,87.51000213623047,93.5199966430664,668130700,93.39,93.39,93.52,93.52
2018-05-01,93.20999908447266,99.98999786376952,92.4499969482422,98.83999633789062,509417900,94.48,94.48,98.84,98.84
2018-06-01,99.27999877929688,102.69000244140624,97.26000213623048,98.61000061035156,602585200,95.17,95.17,98.61,98.61
2018-07-01,98.0999984741211,111.1500015258789,98.0,106.08000183105467,569352300,96.73,96.73,106.08,106.08
2018-08-01,106.02999877929688,112.77999877929688,104.83999633789062,112.33000183105467,456628100,98.68,98.68,112.33,112.33
2018-09-01,110.8499984741211,115.29000091552734,107.2300033569336,114.37000274658205,480255500,100.42,100.42,114.37,114.37
2018-10-01,114.75,116.18000030517578,100.11000061035156,106.80999755859376,927548000,101.06,101.06,101.06,106.81
2018-11-01,107.0500030517578,112.23999786376952,99.3499984741211,110.88999938964844,720228600,102.65,101.95,102.85,110.89
2018-12-01,113.0,113.41999816894533,93.95999908447266,101.56999969482422,944314600,103.43,101.92,102.62,101.57
2019-01-01,99.5500030517578,107.9000015258789,97.1999969482422,104.43000030517578,714212800,104.74,102.12,102.95,104.43
2019-02-01,103.77999877929688,113.23999786376952,102.3499984741211,112.02999877929688,469095900,106.6,102.82,104.6,112.03
2019-03-01,112.88999938964844,120.81999969482422,108.8000030517578,117.94000244140624,589095800,108.51,103.83,107.02,117.94
2019-04-01,118.9499969482422,131.3699951171875,118.0999984741211,130.60000610351562,433157700,111.71,105.5,111.31,130.6
2019-05-01,130.52999877929688,130.64999389648438,123.04000091552734,123.68000030517578,547218800,113.47,106.57,113.56,123.68
2019-06-01,123.8499984741211,138.39999389648438,119.01000213623048,133.9600067138672,508316500,115.63,108.1,117.27,133.96
2019-07-01,136.6300048828125,141.67999267578125,134.6699981689453,136.27000427246094,484547500,117.82,109.58,120.72,136.27
2019-08-01,137.0,140.94000244140625,130.77999877929688,137.86000061035156,584474300,120.92,110.99,123.84,110.99
2019-09-01,136.61000061035156,142.3699951171875,134.50999450683594,139.02999877929688,472544800,123.74,113.19,126.6,113.66
2019-10-01,139.66000366210938,145.6699981689453,133.22000122070312,143.3699951171875,549523400,127.92,115.67,129.65,116.49
2019-11-01,144.25999450683594,152.5,142.97000122070312,151.3800048828125,392371800,132.61,118.68,133.6,119.81
2019-12-01,151.80999755859375,159.5500030517578,146.64999389648438,157.6999969482422,450303300,137.18,121.89,137.98,123.42
