date,open,high,low,close,volume,sma_10,sma_20,ema_10,ema_20
2018-01-01,119.93000030517578,122.51000213623048,116.37999725341795,120.3000030517578,88470600,120.3,120.3,120.3,120.3
2018-02-01,119.91999816894533,121.01000213623048,107.94000244140624,109.7300033569336,97278600,115.02,115.02,109.73,109.73
2018-03-01,109.20999908447266,113.9000015258789,105.94000244140624,109.1500015258789,97486500,113.06,113.06,109.15,109.15
2018-04-01,108.62000274658205,111.18000030517578,100.58000183105467,100.94000244140624,98237200,110.03,110.03,100.94,100.94
2018-05-01,100.36000061035156,102.23999786376952,95.94000244140624,100.25,127114600,108.07,108.07,100.25,100.25
2018-06-01,100.54000091552734,109.58999633789062,99.6500015258789,108.87000274658205,112788100,108.21,108.21,108.87,108.87
2018-07-01,108.6999969482422,116.9000015258789,107.5199966430664,115.0,147328900,109.18,109.18,115.0,115.0
2018-08-01,114.41999816894533,118.44000244140624,110.88999938964844,112.01000213623048,97858900,109.53,109.53,112.01,112.01
2018-09-01,111.81999969482422,115.5199966430664,110.4499969482422,111.8000030517578,75015800,109.78,109.78,111.8,111.8
2018-10-01,112.1500015258789,114.2300033569336,104.52999877929688,112.37999725341795,119829000,110.04,110.04,110.04,112.38
2018-11-01,112.0,122.0,109.62999725341795,121.94000244140624,90370600,110.21,111.12,112.21,121.94
2018-12-01,120.4800033569336,120.91000366210938,105.02999877929688,110.4800033569336,115113900,110.28,111.07,111.89,110.48
2019-01-01,109.1500015258789,112.9000015258789,106.7300033569336,112.66999816894533,115732500,110.63,111.19,112.03,112.67
2019-02-01,112.9499969482422,117.3000030517578,111.4499969482422,115.63999938964844,96885600,112.1,111.51,112.69,115.64
2019-03-01,115.86000061035156,123.19000244140624,114.26000213623048,122.5500030517578,125322600,114.33,112.25,114.48,122.55
2019-04-01,122.58999633789062,128.38999938964844,120.73999786376952,128.0500030517578,86628800,116.25,113.24,116.95,128.05
2019-05-01,127.8499984741211,130.89999389648438,124.8499984741211,128.0,88149400,117.55,114.1,118.96,128.0
2019-06-01,127.86000061035156,135.24000549316406,127.48999786376952,131.1300048828125,88686800,119.46,115.05,121.17,131.13
2019-07-01,131.99000549316406,135.24000549316406,126.23999786376952,127.80999755859376,96373300,121.07,115.72,122.38,127.81
2019-08-01,128.9600067138672,137.11000061035156,123.87999725341795,136.72999572753906,95177800,123.5,116.77,124.99,116.77
2019-09-01,136.35000610351562,139.17999267578125,134.10000610351562,137.10000610351562,78024000,125.02,117.61,127.19,118.71
2019-10-01,136.92999267578125,140.4499969482422,133.49000549316406,137.1699981689453,80469500,127.69,118.98,129.0,120.47
2019-11-01,137.5500030517578,138.33999633789062,131.58999633789062,135.8300018310547,64684200,130.0,120.32,130.25,121.93
2019-12-01,136.64999389648438,138.25,134.32000732421875,136.6699981689453,82358000,132.1,122.1,131.41,123.33
