date,volume,open,high,low,close,adjclose,ticker
2018-06-15,3696200,59.630001068115234,60.08000183105469,59.369998931884766,60.0099983215332,60.0099983215332,TMUS
2018-07-26,23518700,43.58000183105469,43.83000183105469,43.220001220703125,43.529998779296875,41.35072708129883,CSCO
2018-04-13,2828300,108.8499984741211,109.45999908447266,108.5199966430664,109.26000213623048,101.97518157958984,PEP
2018-03-14,21141100,45.34000015258789,45.7599983215332,45.09000015258789,45.279998779296875,42.34009552001953,CSCO
2019-05-21,2506000,277.0899963378906,279.7799987792969,274.6499938964844,275.3299865722656,275.3299865722656,AVGO
2019-12-16,58824900,41.72999954223633,42.97999954223633,41.72999954223633,42.349998474121094,42.349998474121094,AMD
2019-08-05,74333200,28.260000228881836,28.489999771118164,27.649999618530273,27.989999771118164,27.989999771118164,AMD
2018-11-01,5736700,112.0,113.13999938964844,110.9800033569336,111.51000213623048,105.9011459350586,PEP
2018-03-29,4687400,238.08999633789065,240.83999633789065,234.7599945068359,235.6499938964844,235.6499938964844,AVGO
2019-07-15,16947400,204.08999633789065,205.8699951171875,204.0,205.2100067138672,202.7898101806641,AAPL
2018-06-08,4795500,101.18000030517578,102.61000061035156,101.18000030517578,102.48999786376952,96.53631591796876,PEP
2018-12-03,34732800,113.0,113.41999816894533,110.7300033569336,112.08999633789062,109.84996032714844,MSFT
2019-01-03,91312200,143.97999572753906,145.72000122070312,142.0,142.19000244140625,139.37625122070312,AAPL
2019-02-11,20993400,171.0500030517578,171.2100067138672,169.25,169.42999267578125,166.7894744873047,AAPL
2019-04-23,10089800,375.4500122070313,384.7999877929687,374.7099914550781,381.8900146484375,381.8900146484375,NFLX
2018-02-22,25887600,43.4900016784668,43.560001373291016,42.75,42.939998626708984,40.15202331542969,CSCO
2019-02-25,7569300,367.010009765625,371.489990234375,363.7900085449219,363.9100036621094,363.9100036621094,NFLX
2018-12-13,88108300,20.6299991607666,20.8700008392334,19.760000228881836,19.86000061035156,19.86000061035156,AMD
2018-01-16,4669900,64.13999938964844,64.13999938964844,62.560001373291016,62.970001220703125,62.970001220703125,TMUS
2019-11-20,79767900,40.959999084472656,41.75,40.06999969482422,40.97999954223633,40.97999954223633,AMD
2018-11-21,4686800,352.0,353.1000061035156,337.3999938964844,338.19000244140625,338.19000244140625,TSLA
2019-03-14,8986600,116.86000061035156,116.9800033569336,115.4499969482422,115.5,111.45795440673828,PEP
2019-07-23,2703500,1995.989990234375,1997.7900390625,1973.1300048828125,1994.489990234375,1994.489990234375,AMZN
2019-03-15,2806200,72.76000213623047,73.5,72.0999984741211,73.45999908447266,73.45999908447266,TMUS
2018-09-10,14283500,273.260009765625,286.0299987792969,271.0,285.5,285.5,TSLA
2018-02-23,1828000,252.13999938964844,255.02999877929688,250.2899932861328,253.7100067138672,253.7100067138672,AVGO
2019-11-22,15901800,150.07000732421875,150.3000030517578,148.82000732421875,149.58999633789062,148.7681884765625,MSFT
2019-06-10,3096000,77.05999755859375,77.37999725341797,76.37999725341797,76.66999816894531,76.66999816894531,TMUS
2018-07-26,9924400,1839.0,1844.6800537109375,1804.5,1808.0,1808.0,AMZN
2018-08-02,62404000,200.5800018310547,208.3800048828125,200.3500061035156,207.38999938964844,201.8712158203125,AAPL
2018-11-02,6955500,1678.5899658203125,1697.43994140625,1651.8299560546875,1665.530029296875,1665.530029296875,AMZN
2019-09-25,58234800,29.479999542236328,29.649999618530273,28.549999237060547,29.540000915527344,29.540000915527344,AMD
2019-04-04,19114300,194.7899932861328,196.3699951171875,193.13999938964844,195.69000244140625,192.6402130126953,AAPL
2018-06-15,13588100,390.7099914550781,398.8599853515625,387.510009765625,391.9800109863281,391.9800109863281,NFLX
2019-08-20,7349900,304.57000732421875,305.0,297.67999267578125,298.989990234375,298.989990234375,NFLX
2019-12-09,2469400,316.0,317.1499938964844,313.94000244140625,314.3800048828125,314.3800048828125,AVGO
2019-06-05,79481500,29.93000030517578,29.989999771118164,29.030000686645508,29.5,29.5,AMD
2018-10-31,7624300,332.5400085449219,342.0,329.1000061035156,337.32000732421875,337.32000732421875,TSLA
2019-12-23,2025400,320.5400085449219,322.3299865722656,317.6099853515625,319.5299987792969,319.5299987792969,AVGO
2018-07-24,58201500,16.75,16.860000610351562,16.110000610351562,16.190000534057617,16.190000534057617,AMD
2019-01-03,5975900,108.91000366210938,110.1500015258789,108.0500030517578,108.26000213623048,103.63098907470705,PEP
2019-09-17,3865400,242.47000122070312,245.6000061035156,240.3699951171875,244.7899932861328,244.7899932861328,TSLA
2018-06-25,6931300,330.1199951171875,338.4700012207031,327.5,333.010009765625,333.010009765625,TSLA
2019-01-15,6056600,335.0,348.79998779296875,334.5,344.42999267578125,344.42999267578125,TSLA
2019-02-27,3148800,1628.1800537109375,1641.81005859375,1615.0999755859375,1641.0899658203125,1641.0899658203125,AMZN
2019-10-15,18794400,46.25,46.58000183105469,46.040000915527344,46.36000061035156,45.58943176269531,CSCO
2019-05-07,2173400,308.6499938964844,309.6199951171875,303.7300109863281,307.2900085449219,307.2900085449219,AVGO
2019-07-30,1116400,299.0899963378906,300.92999267578125,297.1000061035156,299.55999755859375,299.55999755859375,AVGO
2019-10-18,3362500,1787.800048828125,1793.97998046875,1749.199951171875,1757.510009765625,1757.510009765625,AMZN
2018-10-19,3223100,230.0,231.08999633789065,226.92999267578125,228.27999877929688,228.27999877929688,AVGO
2018-09-18,16469600,47.06999969482422,47.650001525878906,47.06999969482422,47.459999084472656,45.083984375,CSCO
2018-04-10,3324400,239.55999755859375,241.55999755859375,237.66000366210935,239.75,239.75,AVGO
2019-09-05,3310800,1821.949951171875,1842.0,1815.5799560546875,1840.719970703125,1840.719970703125,AMZN
2019-08-06,32696700,133.8000030517578,135.67999267578125,133.2100067138672,134.69000244140625,133.05274963378906,MSFT
2019-08-23,5270800,1793.030029296875,1804.9000244140625,1745.22998046875,1749.6199951171875,1749.6199951171875,AMZN
2019-11-01,24404100,46.849998474121094,47.4900016784668,46.63999938964844,47.029998779296875,46.24829864501953,CSCO
2018-05-03,6668200,97.4800033569336,98.08999633789062,96.6999969482422,97.5999984741211,91.09259796142578,PEP
2019-10-14,13304300,139.69000244140625,140.2899932861328,139.52000427246094,139.5500030517578,138.31271362304688,MSFT
2019-08-09,5349100,313.739990234375,316.6400146484375,305.67999267578125,308.92999267578125,308.92999267578125,NFLX
2019-06-21,57588800,57.40999984741211,58.150001525878906,56.97999954223633,57.029998779296875,55.31144332885742,CSCO
2019-11-14,1726800,310.75,311.8399963378906,306.1099853515625,308.9700012207031,308.9700012207031,AVGO
2018-11-07,7374500,343.3399963378906,351.17999267578125,340.79998779296875,348.1600036621094,348.1600036621094,TSLA
2019-06-14,70373000,30.700000762939453,30.959999084472656,30.020000457763672,30.36000061035156,30.36000061035156,AMD
2018-05-21,2925200,1585.0,1592.050048828125,1575.0,1585.4599609375,1585.4599609375,AMZN
2019-10-22,2111700,1788.1500244140625,1789.780029296875,1762.0,1765.72998046875,1765.72998046875,AMZN
2019-03-12,19485300,52.0099983215332,52.279998779296875,51.68000030517578,52.150001525878906,50.26028060913086,CSCO
2019-11-04,16912000,144.8300018310547,145.0,144.16000366210938,144.5500030517578,143.2683868408203,MSFT
2018-03-07,22034400,44.029998779296875,44.38999938964844,43.79999923706055,44.20000076293945,41.33021545410156,CSCO
2019-01-11,85110800,19.469999313354492,20.350000381469727,19.190000534057617,20.270000457763672,20.270000457763672,AMD
2018-02-28,6069700,352.57000732421875,355.239990234375,342.2200012207031,343.05999755859375,343.05999755859375,TSLA
2018-07-03,13474700,42.939998626708984,43.22999954223633,42.619998931884766,42.66999816894531,40.220306396484375,CSCO
2018-05-21,6678100,98.22000122070312,99.9800033569336,98.05999755859376,99.51000213623048,92.8752670288086,PEP
2019-03-18,5429100,1712.699951171875,1750.0,1712.6300048828125,1742.1500244140625,1742.1500244140625,AMZN
2018-04-19,8438800,332.8800048828125,335.30999755859375,326.7699890136719,332.70001220703125,332.70001220703125,NFLX
2019-02-13,18394900,107.5,107.77999877929688,106.70999908447266,106.80999755859376,104.67547607421876,MSFT
2019-10-24,18338800,47.22999954223633,47.22999954223633,46.099998474121094,46.40999984741211,45.63860321044922,CSCO
2018-08-02,4354700,1788.77001953125,1836.56005859375,1786.0,1834.3299560546875,1834.3299560546875,AMZN
2019-12-12,86878000,39.400001525878906,42.619998931884766,39.25,42.59000015258789,42.59000015258789,AMD
2019-05-06,32443100,204.2899932861328,208.83999633789065,203.5,208.47999572753903,205.2309112548828,AAPL
2018-03-07,127603200,11.579999923706056,12.81999969482422,11.550000190734863,12.239999771118164,12.239999771118164,AMD
2019-09-25,3579500,135.2100067138672,135.66000366210938,134.50999450683594,135.08999633789062,132.2243194580078,PEP
2018-12-07,4615500,116.37000274658205,116.9800033569336,115.37999725341795,115.81999969482422,110.86773681640624,PEP
2018-07-13,3079300,61.2400016784668,61.810001373291016,60.970001220703125,61.68000030517578,61.68000030517578,TMUS
2019-12-11,2082900,315.17999267578125,321.3500061035156,315.17999267578125,319.7200012207031,319.7200012207031,AVGO
2019-10-28,6248400,278.04998779296875,285.75,277.3500061035156,281.8599853515625,281.8599853515625,NFLX
2018-03-20,3319000,110.75,111.3000030517578,109.83000183105467,109.9000015258789,102.572509765625,PEP
2018-09-25,3538700,112.63999938964844,112.75,111.76000213623048,111.97000122070312,106.3379898071289,PEP
2018-07-05,18118700,42.560001373291016,42.63999938964844,41.959999084472656,42.560001373291016,40.42929458618164,CSCO
